0.000   56.985   0.035
0.001   57.031   0.041
0.002   57.063   0.051
0.003   57.097   0.056
0.004   57.161   0.058
0.005   57.218   0.064
0.006   57.259   0.064
0.007   57.301   0.057
0.008   57.351   0.052
0.009   57.391   0.049
0.010   57.424   0.044
0.011   57.455   0.040
0.012   57.476   0.042
0.013   58.647   0.042
0.014   58.683   0.040
0.015   58.701   0.037
0.016   58.692   0.039
0.017   58.692   0.041
0.018   58.731   0.039
0.019   58.732   0.036
0.020   58.716   0.037
0.021   58.717   0.038
0.022   58.739   0.038
0.023   58.750   0.038
0.024   58.754   0.036
0.025   58.752   0.037
0.026   58.782   0.041
0.027   58.816   0.043
0.028   58.816   0.044
0.029   58.795   0.046
0.030   58.815   0.050
0.031   58.857   0.052
0.032   58.850   0.051
0.033   58.840   0.058
0.034   58.864   0.068
0.035   58.897   0.071
0.036   58.892   0.069
0.037   58.866   0.083
0.038   58.893   0.103
0.039   58.919   0.104
0.040   58.918   0.104
0.041   58.911   0.111
0.042   58.927   0.133
0.043   58.962   0.154
0.044   58.993   0.149
0.045   58.977   0.148
0.046   58.980   0.164
0.047   59.035   0.169
0.048   59.085   0.155
0.049   59.091   0.160
0.050   59.109   0.185
0.051   59.160   0.187
0.052   59.200   0.169
0.053   59.211   0.164
0.054   59.223   0.168
0.055   59.258   0.143
0.056   59.267   0.111
0.057   59.246   0.104
0.058   59.240   0.106
0.059   59.238   0.095
0.060   59.220   0.080
0.061   59.212   0.068
0.062   59.184   0.062
0.063   59.159   0.059
0.064   59.137   0.053
0.065   59.088   0.047
0.066   59.031   0.050
0.067   58.988   0.056
0.068   58.960   0.055
0.069   58.934   0.055
0.070   58.892   0.060
0.071   58.864   0.067
0.072   58.848   0.075
0.073   57.206   0.084
0.074   58.832   0.088
0.075   58.845   0.097
0.076   58.850   0.102
0.077   58.865   0.104
0.078   58.904   0.105
0.079   58.919   0.109
0.080   58.939   0.107
0.081   58.972   0.097
0.082   58.976   0.095
0.083   58.999   0.091
0.084   59.006   0.081
0.085   59.000   0.072
0.086   59.023   0.060
0.087   59.025   0.053
0.088   353.350   0.052
0.089   353.281   0.054
0.090   353.152   0.054
0.091   353.057   0.053
0.092   353.037   0.044
0.093   352.530   0.037
0.094   352.962   0.033
0.095   353.046   0.029
0.096   352.591   0.027
0.097   59.033   0.030
0.098   59.023   0.034
0.099   59.005   0.042
0.100   59.003   0.051
0.101   59.012   0.064
0.102   59.019   0.079
0.103   59.019   0.089
0.104   59.015   0.102
0.105   59.018   0.104
0.106   59.031   0.095
0.107   59.037   0.092
0.108   59.051   0.078
0.109   59.061   0.066
0.110   59.030   0.064
0.111   59.013   0.059
0.112   58.994   0.053
0.113   58.942   0.049
0.114   58.901   0.046
0.115   58.858   0.044
0.116   57.282   0.041
0.117   75.171   0.041
0.118   75.157   0.045
0.119   75.361   0.044
0.120   75.357   0.044
0.121   75.352   0.044
0.122   75.359   0.039
0.123   75.089   0.035
0.124   75.355   0.032
0.125   75.362   0.028
0.126   75.066   0.024
0.127   75.066   0.022
0.128   75.357   0.020
0.129   75.342   0.019
0.130   75.038   0.018
0.131   74.698   0.019
0.132   74.693   0.020
0.133   74.686   0.022
0.134   74.680   0.025
0.135   74.680   0.028
0.136   74.697   0.029
0.137   74.717   0.032
0.138   74.731   0.035
0.139   74.756   0.035
0.140   74.784   0.037
0.141   74.801   0.039
0.142   74.814   0.038
0.143   74.843   0.037
0.144   75.045   0.037
0.145   74.887   0.036
0.146   75.070   0.035
0.147   75.091   0.035
0.148   75.114   0.035
0.149   75.123   0.036
0.150   75.297   0.037
0.151   75.317   0.036
0.152   75.329   0.036
0.153   75.333   0.037
0.154   75.345   0.037
0.155   75.355   0.036
0.156   75.369   0.035
0.157   75.383   0.034
0.158   75.387   0.033
0.159   75.401   0.031
0.160   75.419   0.029
0.161   75.437   0.027
0.162   75.457   0.025
0.163   75.474   0.023
0.164   75.490   0.022
0.165   75.512   0.020
0.166   75.529   0.019
0.167   75.536   0.019
0.168   75.553   0.018
0.169   75.571   0.017
0.170   75.582   0.016
0.171   75.596   0.016
0.172   75.612   0.015
0.173   75.624   0.015
0.174   75.632   0.014
0.175   75.638   0.014
0.176   75.649   0.014
0.177   75.659   0.013
0.178   75.662   0.013
0.179   75.673   0.013
0.180   75.687   0.013
0.181   75.696   0.013
0.182   75.704   0.013
0.183   75.711   0.013
0.184   75.938   0.013
0.185   75.947   0.013
0.186   75.952   0.013
0.187   75.959   0.013
0.188   75.968   0.014
0.189   75.974   0.014
0.190   75.979   0.014
0.191   75.985   0.014
0.192   75.989   0.014
0.193   75.991   0.015
0.194   75.995   0.015
0.195   76.001   0.015
0.196   76.005   0.016
0.197   76.006   0.016
0.198   76.006   0.016
0.199   76.008   0.016
0.200   76.009   0.016
0.201   76.009   0.017
0.202   76.008   0.017
0.203   76.006   0.017
0.204   76.005   0.017
0.205   76.006   0.017
0.206   76.007   0.017
0.207   76.003   0.017
