time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.084
0.001,0.0,0.0,0.127
0.002,0.0,0.0,0.165
0.003,0.0,0.0,0.182
0.004,0.0,0.0,0.185
0.005,0.0,0.0,0.197
0.006,0.0,0.0,0.206
0.007,0.0,0.0,0.201
0.008,0.0,0.0,0.205
0.009,0.0,0.0,0.23
0.01,0.0,0.0,0.242
0.011,0.0,0.0,0.237
0.012,0.0,0.0,0.234
0.013,0.0,0.0,0.248
0.014,0.0,0.0,0.259
0.015,0.0,0.0,0.259
0.016,0.0,0.0,0.259
0.017,0.0,0.0,0.265
0.018,0.0,0.0,0.264
0.019,0.0,0.0,0.249
0.02,0.0,0.0,0.232
0.021,0.0,0.0,0.213
0.022,0.0,0.0,0.2
0.023,0.0,0.0,0.184
0.024,0.0,0.0,0.154
0.025,0.0,0.0,0.123
0.026,0.0,0.0,0.102
0.027,0.0,0.0,0.083
0.028,0.0,0.0,0.067
0.029,0.0,0.0,0.059
0.03,0.0,0.0,0.052
0.031,0.0,0.0,0.047
0.032,0.0,0.0,0.042
0.033,0.0,0.0,0.042
0.034,0.0,0.0,0.049
0.035,416.83761962030763,0.0,0.05
0.036,416.83761962030763,0.0,0.048
0.037,416.83761962030763,0.0,0.047
0.038,416.83761962030763,0.0,0.047
0.039,416.83761962030763,0.0,0.046
0.04,416.83761962030763,0.0,0.047
0.041,416.83761962030763,0.0,0.047
0.042,416.83761962030763,0.0,0.044
0.043,416.83761962030763,0.0,0.039
0.044,416.83761962030763,0.0,0.032
0.045,416.83761962030763,0.0,0.029
0.046,416.83761962030763,0.0,0.026
0.047,416.83761962030763,0.0,0.021
0.048,416.83761962030763,0.0,0.017
0.049,416.83761962030763,0.0,0.014
0.05,416.83761962030763,0.0,0.012
0.051,416.83761962030763,0.0,0.01
0.052,416.83761962030763,0.0,0.008
0.053,416.83761962030763,0.0,0.006
0.054,416.83761962030763,0.0,0.005
0.055,416.83761962030763,0.0,0.004
0.056,416.83761962030763,0.0,0.004
0.057,416.83761962030763,0.0,0.003
0.058,416.83761962030763,0.0,0.003
0.059,416.83761962030763,0.0,0.002
0.06,416.83761962030763,0.0,0.002
0.061,416.83761962030763,0.0,0.002
0.062,416.83761962030763,0.0,0.002
0.063,416.83761962030763,0.0,0.002
0.064,416.83761962030763,0.0,0.002
0.065,416.83761962030763,0.0,0.002
0.066,416.83761962030763,0.0,0.002
0.067,416.83761962030763,0.0,0.001
0.068,416.83761962030763,0.0,0.001
0.069,416.83761962030763,0.0,0.001
0.07,416.83761962030763,0.0,0.001
0.071,416.83761962030763,0.0,0.001
0.072,416.83761962030763,0.0,0.001
0.073,416.83761962030763,0.0,0.001
0.074,416.83761962030763,0.0,0.001
0.075,416.83761962030763,0.0,0.001
0.076,416.83761962030763,0.0,0.001
0.077,416.83761962030763,0.0,0.001
0.078,416.83761962030763,0.0,0.001
0.079,416.83761962030763,0.0,0.001
0.08,416.83761962030763,0.0,0.001
0.081,416.83761962030763,0.0,0.001
0.082,416.83761962030763,0.0,0.001
0.083,416.83761962030763,0.0,0.001
0.084,416.83761962030763,0.0,0.001
0.085,416.83761962030763,0.0,0.001
0.086,416.83761962030763,0.0,0.0
0.087,416.83761962030763,0.0,0.0
0.088,416.83761962030763,0.0,0.0
0.089,416.83761962030763,0.0,0.0
0.09,416.83761962030763,0.0,0.0
0.091,416.83761962030763,0.0,0.0
0.092,416.83761962030763,0.0,0.0
0.093,416.83761962030763,0.0,0.0
0.094,416.83761962030763,0.0,0.0
0.095,416.83761962030763,0.0,0.0
0.096,416.83761962030763,0.0,0.0
0.097,416.83761962030763,0.0,0.0
0.098,416.83761962030763,0.0,0.0
0.099,416.83761962030763,0.0,0.0
0.1,416.83761962030763,0.0,0.0
0.101,416.83761962030763,0.0,0.0
0.102,416.83761962030763,0.0,0.0
0.103,416.83761962030763,0.0,0.0
0.104,416.83761962030763,0.0,0.0
0.105,416.83761962030763,0.0,0.0
0.106,416.83761962030763,0.0,0.0
0.107,416.83761962030763,0.0,0.0
0.108,416.83761962030763,0.0,0.0
0.109,416.83761962030763,0.0,0.0
0.11,416.83761962030763,0.0,0.0
0.111,416.83761962030763,0.0,0.001
0.112,416.83761962030763,0.0,0.0
0.113,416.83761962030763,0.0,0.001
0.114,416.83761962030763,0.0,0.0
