time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.064
0.001,0.0,0.0,0.094
0.002,0.0,0.0,0.116
0.003,0.0,0.0,0.126
0.004,0.0,0.0,0.124
0.005,0.0,0.0,0.141
0.006,0.0,0.0,0.168
0.007,0.0,0.0,0.168
0.008,0.0,0.0,0.17
0.009,0.0,0.0,0.177
0.01,0.0,0.0,0.196
0.011,0.0,0.0,0.191
0.012,0.0,0.0,0.188
0.013,0.0,0.0,0.182
0.014,0.0,0.0,0.174
0.015,0.0,0.0,0.175
0.016,0.0,0.0,0.174
0.017,0.0,0.0,0.169
0.018,0.0,0.0,0.15
0.019,0.0,0.0,0.134
0.02,0.0,0.0,0.123
0.021,0.0,0.0,0.116
0.022,0.0,0.0,0.105
0.023,0.0,0.0,0.1
0.024,0.0,0.0,0.103
0.025,0.0,0.0,0.099
0.026,0.0,0.0,0.08
0.027,0.0,0.0,0.062
0.028,0.0,0.0,0.057
0.029,0.0,0.0,0.052
0.03,0.0,0.0,0.056
0.031,0.0,0.0,0.056
0.032,0.0,0.0,0.055
0.033,0.0,0.0,0.062
0.034,0.0,0.0,0.069
0.035,0.0,0.0,0.07
0.036,0.0,0.0,0.071
0.037,0.0,0.0,0.077
0.038,0.0,0.0,0.087
0.039,0.0,0.0,0.09
0.04,0.0,0.0,0.09
0.041,0.0,0.0,0.095
0.042,0.0,0.0,0.096
0.043,0.0,0.0,0.096
0.044,0.0,0.0,0.093
0.045,0.0,0.0,0.089
0.046,0.0,0.0,0.088
0.047,0.0,0.0,0.096
0.048,0.0,0.0,0.092
0.049,0.0,0.0,0.083
0.05,0.0,0.0,0.089
0.051,0.0,0.0,0.089
0.052,0.0,0.0,0.08
0.053,0.0,0.0,0.073
0.054,0.0,0.0,0.076
0.055,0.0,0.0,0.07
0.056,0.0,0.0,0.054
0.057,0.0,0.0,0.046
0.058,0.0,0.0,0.043
0.059,0.0,0.0,0.037
0.06,0.0,0.0,0.032
0.061,0.0,0.0,0.029
0.062,0.0,0.0,0.027
0.063,0.0,0.0,0.025
0.064,0.0,0.0,0.023
0.065,0.0,0.0,0.019
0.066,0.0,0.0,0.017
0.067,0.0,0.0,0.018
0.068,0.0,0.0,0.017
0.069,0.0,0.0,0.016
0.07,0.0,0.0,0.016
0.071,0.0,0.0,0.016
0.072,0.0,0.0,0.017
0.073,0.0,0.0,0.02
0.074,0.0,0.0,0.022
0.075,0.0,0.0,0.022
0.076,0.0,0.0,0.028
0.077,0.0,0.0,0.036
0.078,0.0,0.0,0.045
0.079,0.0,0.0,0.054
0.08,0.0,0.0,0.065
0.081,0.0,0.0,0.071
0.082,0.0,0.0,0.078
0.083,0.0,0.0,0.083
0.084,0.0,0.0,0.08
0.085,0.0,0.0,0.078
0.086,0.0,0.0,0.08
0.087,0.0,0.0,0.074
0.088,0.0,0.0,0.063
0.089,0.0,0.0,0.057
0.09,0.0,0.0,0.053
0.091,0.0,0.0,0.043
0.092,0.0,0.0,0.038
0.093,0.0,0.0,0.037
0.094,0.0,0.0,0.034
0.095,0.0,0.0,0.03
0.096,0.0,0.0,0.031
0.097,0.0,0.0,0.028
0.098,0.0,0.0,0.022
0.099,0.0,0.0,0.02
0.1,0.0,0.0,0.019
0.101,0.0,0.0,0.018
0.102,0.0,0.0,0.017
0.103,0.0,0.0,0.017
0.104,0.0,0.0,0.019
0.105,0.0,0.0,0.02
0.106,0.0,0.0,0.02
0.107,0.0,0.0,0.021
0.108,0.0,0.0,0.024
0.109,0.0,0.0,0.025
0.11,0.0,0.0,0.028
0.111,0.0,0.0,0.03
0.112,0.0,0.0,0.031
0.113,0.0,0.0,0.03
0.114,0.0,0.0,0.03
0.115,0.0,0.0,0.032
0.116,0.0,0.0,0.034
0.117,0.0,0.0,0.035
0.118,0.0,0.0,0.039
0.119,0.0,0.0,0.042
0.12,0.0,0.0,0.044
0.121,0.0,0.0,0.044
0.122,0.0,0.0,0.047
0.123,0.0,0.0,0.048
0.124,0.0,0.0,0.045
0.125,0.0,0.0,0.047
0.126,0.0,0.0,0.049
0.127,0.0,0.0,0.052
0.128,0.0,0.0,0.058
0.129,0.0,0.0,0.062
0.13,0.0,0.0,0.063
0.131,0.0,0.0,0.061
0.132,0.0,0.0,0.061
0.133,0.0,0.0,0.054
0.134,0.0,0.0,0.047
0.135,0.0,0.0,0.046
0.136,0.0,0.0,0.039
0.137,0.0,0.0,0.033
0.138,0.0,0.0,0.027
0.139,0.0,0.0,0.019
0.14,0.0,0.0,0.015
0.141,0.0,0.0,0.01
0.142,0.0,0.0,0.008
0.143,0.0,0.0,0.006
0.144,0.0,0.0,0.005
0.145,0.0,0.0,0.004
0.146,0.0,0.0,0.003
0.147,0.0,0.0,0.004
0.148,0.0,0.0,0.003
0.149,0.0,0.0,0.003
0.15,0.0,0.0,0.003
0.151,0.0,0.0,0.003
0.152,0.0,0.0,0.003
0.153,0.0,0.0,0.003
0.154,0.0,0.0,0.003
0.155,0.0,0.0,0.003
0.156,0.0,0.0,0.002
0.157,0.0,0.0,0.003
0.158,0.0,0.0,0.003
0.159,0.0,0.0,0.003
0.16,0.0,0.0,0.002
0.161,0.0,0.0,0.003
0.162,408.47377237810565,0.0,0.003
0.163,408.47377237810565,0.0,0.003
0.164,408.47377237810565,0.0,0.003
0.165,408.47377237810565,0.0,0.003
0.166,408.47377237810565,0.0,0.003
0.167,408.47377237810565,0.0,0.003
0.168,408.47377237810565,0.0,0.003
0.169,408.47377237810565,0.0,0.004
0.17,408.47377237810565,0.0,0.003
0.171,408.47377237810565,0.0,0.003
0.172,408.47377237810565,0.0,0.003
0.173,408.47377237810565,0.0,0.003
0.174,408.47377237810565,0.0,0.003
0.175,408.47377237810565,0.0,0.002
0.176,408.47377237810565,0.0,0.002
0.177,408.47377237810565,0.0,0.002
0.178,408.47377237810565,0.0,0.001
0.179,408.47377237810565,0.0,0.001
0.18,408.47377237810565,0.0,0.001
0.181,408.47377237810565,0.0,0.001
0.182,408.47377237810565,0.0,0.001
0.183,408.47377237810565,0.0,0.001
0.184,408.47377237810565,0.0,0.001
0.185,408.47377237810565,0.0,0.001
0.186,408.47377237810565,0.0,0.002
0.187,408.47377237810565,0.0,0.002
0.188,408.47377237810565,0.0,0.002
0.189,408.47377237810565,0.0,0.002
0.19,408.47377237810565,0.0,0.001
0.191,408.47377237810565,0.0,0.001
0.192,408.47377237810565,0.0,0.001
0.193,408.47377237810565,0.0,0.001
0.194,408.47377237810565,0.0,0.001
0.195,408.47377237810565,0.0,0.001
0.196,408.47377237810565,0.0,0.001
0.197,408.47377237810565,0.0,0.001
0.198,408.47377237810565,0.0,0.001
0.199,408.47377237810565,0.0,0.001
0.2,408.47377237810565,0.0,0.0
0.201,408.47377237810565,0.0,0.0
0.202,408.47377237810565,0.0,0.0
0.203,408.47377237810565,0.0,0.0
0.204,408.47377237810565,0.0,0.0
0.205,408.47377237810565,0.0,0.0
0.206,408.47377237810565,0.0,0.0
0.207,408.47377237810565,0.0,0.0
0.208,408.47377237810565,0.0,0.0
0.209,408.47377237810565,0.0,0.0
0.21,408.47377237810565,0.0,0.0
0.211,408.47377237810565,0.0,0.0
0.212,408.47377237810565,0.0,0.0
0.213,408.47377237810565,0.0,0.0
0.214,408.47377237810565,0.0,0.0
0.215,408.47377237810565,0.0,0.0
0.216,408.47377237810565,0.0,0.0
0.217,408.47377237810565,0.0,0.0
0.218,408.47377237810565,0.0,0.0
0.219,408.47377237810565,0.0,0.0
0.22,408.47377237810565,0.0,0.0
0.221,408.47377237810565,0.0,0.0
0.222,408.47377237810565,0.0,0.0
0.223,408.47377237810565,0.0,0.0
0.224,408.47377237810565,0.0,0.0
0.225,408.47377237810565,0.0,0.0
0.226,408.47377237810565,0.0,0.0
0.227,408.47377237810565,0.0,0.0
0.228,408.47377237810565,0.0,0.0
0.229,408.47377237810565,0.0,0.0
0.23,408.47377237810565,0.0,0.0
0.231,408.47377237810565,0.0,0.0
0.232,408.47377237810565,0.0,0.0
0.233,408.47377237810565,0.0,0.0
0.234,408.47377237810565,0.0,0.0
0.235,408.47377237810565,0.0,0.0
0.236,408.47377237810565,0.0,0.0
0.237,408.47377237810565,0.0,0.0
0.238,408.47377237810565,0.0,0.0
0.239,408.47377237810565,0.0,0.0
0.24,408.47377237810565,0.0,0.0
0.241,408.47377237810565,0.0,0.0
0.242,408.47377237810565,0.0,0.0
0.243,408.47377237810565,0.0,0.0
0.244,408.47377237810565,0.0,0.0
0.245,408.47377237810565,0.0,0.0
0.246,408.47377237810565,0.0,0.0
0.247,408.47377237810565,0.0,0.0
0.248,408.47377237810565,0.0,0.0
0.249,408.47377237810565,0.0,0.0
0.25,408.47377237810565,0.0,0.0
0.251,408.47377237810565,0.0,0.0
0.252,408.47377237810565,0.0,0.0
0.253,408.47377237810565,0.0,0.0
0.254,408.47377237810565,0.0,0.0
0.255,408.47377237810565,0.0,0.0
0.256,408.47377237810565,0.0,0.0
0.257,408.47377237810565,0.0,0.0
0.258,408.47377237810565,0.0,0.0
0.259,408.47377237810565,0.0,0.0
0.26,408.47377237810565,0.0,0.0
0.261,408.47377237810565,0.0,0.0
0.262,408.47377237810565,0.0,0.0
0.263,408.47377237810565,0.0,0.0
0.264,408.47377237810565,0.0,0.0
0.265,408.47377237810565,0.0,0.0
0.266,408.47377237810565,0.0,0.0
0.267,408.47377237810565,0.0,0.0
0.268,408.47377237810565,0.0,0.0
0.269,408.47377237810565,0.0,0.0
0.27,408.47377237810565,0.0,0.0
0.271,408.47377237810565,0.0,0.0
0.272,408.47377237810565,0.0,0.0
0.273,408.47377237810565,0.0,0.0
0.274,408.47377237810565,0.0,0.0
0.275,408.47377237810565,0.0,0.0
0.276,408.47377237810565,0.0,0.0
0.277,408.47377237810565,0.0,0.0
0.278,408.47377237810565,0.0,0.0
0.279,408.47377237810565,0.0,0.0
0.28,408.47377237810565,0.0,0.0
0.281,408.47377237810565,0.0,0.0
0.282,408.47377237810565,0.0,0.0
0.283,408.47377237810565,0.0,0.0
0.284,408.47377237810565,0.0,0.0
0.285,408.47377237810565,0.0,0.0
0.286,408.47377237810565,0.0,0.0
0.287,408.47377237810565,0.0,0.0
0.288,408.47377237810565,0.0,0.0
0.289,408.47377237810565,0.0,0.0
0.29,408.47377237810565,0.0,0.0
0.291,408.47377237810565,0.0,0.0
0.292,408.47377237810565,0.0,0.0
0.293,408.47377237810565,0.0,0.0
0.294,408.47377237810565,0.0,0.0
0.295,408.47377237810565,0.0,0.0
0.296,408.47377237810565,0.0,0.0
0.297,408.47377237810565,0.0,0.0
