0.000   61.923   0.191
0.001   61.890   0.183
0.002   61.850   0.184
0.003   61.827   0.178
0.004   61.809   0.176
0.005   61.781   0.175
0.006   61.755   0.173
0.007   61.733   0.166
0.008   61.717   0.158
0.009   61.708   0.150
0.010   61.682   0.140
0.011   61.640   0.126
0.012   61.605   0.122
0.013   61.567   0.120
0.014   59.560   0.119
0.015   59.602   0.113
0.016   61.470   0.107
0.017   354.534   0.104
0.018   354.259   0.114
0.019   353.088   0.120
0.020   352.955   0.125
0.021   353.655   0.132
0.022   353.513   0.146
0.023   352.653   0.153
0.024   352.611   0.150
0.025   353.105   0.162
0.026   352.945   0.175
0.027   352.958   0.175
0.028   352.902   0.173
0.029   352.805   0.178
0.030   352.852   0.184
0.031   352.868   0.189
0.032   352.866   0.195
0.033   352.943   0.208
0.034   352.950   0.218
0.035   353.034   0.216
0.036   353.134   0.221
0.037   353.132   0.233
0.038   353.260   0.238
0.039   353.743   0.247
0.040   353.405   0.259
0.041   353.532   0.264
0.042   353.598   0.277
0.043   353.952   0.283
0.044   354.075   0.281
0.045   353.759   0.297
0.046   353.796   0.300
0.047   354.224   0.299
0.048   354.184   0.315
0.049   353.920   0.332
0.050   354.002   0.338
0.051   354.291   0.346
0.052   354.375   0.350
0.053   354.419   0.358
0.054   354.446   0.363
0.055   354.629   0.368
0.056   354.650   0.385
0.057   354.697   0.396
0.058   354.911   0.399
0.059   354.931   0.419
0.060   355.058   0.430
0.061   355.252   0.434
0.062   355.261   0.450
0.063   355.450   0.456
0.064   355.589   0.468
0.065   355.580   0.496
0.066   355.787   0.507
0.067   355.870   0.518
0.068   355.898   0.536
0.069   356.104   0.542
0.070   356.120   0.557
0.071   356.224   0.572
0.072   356.431   0.581
0.073   356.382   0.601
0.074   356.506   0.614
0.075   357.009   0.626
0.076   356.952   0.649
0.077   357.122   0.665
0.078   357.206   0.680
0.079   357.143   0.697
0.080   357.294   0.714
0.081   357.282   0.731
0.082   357.229   0.744
0.083   357.375   0.758
0.084   357.314   0.771
0.085   357.307   0.777
0.086   357.411   0.788
0.087   357.296   0.799
0.088   357.346   0.805
0.089   357.397   0.815
0.090   357.243   0.820
0.091   357.315   0.823
0.092   357.317   0.829
0.093   357.187   0.833
0.094   357.290   0.835
0.095   357.228   0.837
0.096   357.131   0.838
0.097   357.231   0.840
0.098   357.116   0.842
0.099   357.068   0.842
0.100   357.154   0.843
0.101   357.024   0.843
0.102   357.041   0.843
0.103   357.085   0.844
0.104   356.953   0.845
0.105   357.037   0.846
0.106   357.033   0.847
0.107   356.916   0.847
0.108   357.029   0.848
0.109   356.987   0.850
0.110   356.930   0.852
0.111   357.060   0.852
0.112   356.981   0.853
0.113   356.989   0.854
0.114   357.112   0.856
0.115   357.028   0.857
0.116   357.114   0.858
0.117   357.218   0.859
0.118   357.157   0.860
0.119   357.301   0.861
0.120   357.363   0.864
0.121   357.345   0.866
0.122   357.532   0.867
0.123   357.560   0.870
0.124   357.597   0.870
0.125   357.799   0.872
0.126   357.814   0.875
0.127   357.922   0.877
0.128   358.104   0.879
0.129   358.113   0.881
0.130   358.276   0.882
0.131   358.431   0.885
0.132   358.469   0.886
0.133   358.666   0.887
0.134   358.788   0.888
0.135   358.871   0.887
0.136   359.083   0.886
0.137   359.178   0.886
0.138   359.311   0.884
0.139   359.827   0.889
0.140   359.925   0.886
0.141   360.084   0.891
0.142   360.285   0.897
0.143   360.386   0.894
0.144   360.569   0.900
0.145   360.738   0.902
0.146   360.850   0.900
0.147   361.038   0.905
0.148   361.175   0.904
0.149   361.297   0.903
0.150   361.476   0.908
0.151   361.583   0.903
0.152   361.707   0.904
0.153   361.864   0.907
0.154   362.182   0.907
0.155   362.299   0.912
0.156   362.424   0.914
0.157   362.509   0.915
0.158   362.621   0.918
0.159   362.719   0.918
0.160   362.796   0.919
0.161   362.903   0.920
0.162   362.975   0.917
0.163   363.045   0.918
0.164   363.148   0.919
0.165   363.202   0.916
0.166   363.270   0.917
0.167   363.349   0.917
0.168   363.394   0.915
0.169   363.458   0.916
0.170   363.512   0.915
0.171   363.556   0.913
0.172   363.624   0.914
0.173   363.654   0.911
0.174   363.696   0.910
0.175   363.757   0.911
0.176   363.776   0.909
0.177   363.818   0.908
0.178   363.860   0.909
0.179   363.878   0.908
0.180   363.918   0.908
0.181   363.941   0.907
0.182   363.963   0.906
0.183   364.006   0.906
0.184   364.014   0.905
0.185   364.041   0.904
0.186   364.079   0.905
0.187   364.083   0.904
0.188   364.114   0.903
0.189   364.139   0.904
0.190   364.146   0.903
0.191   364.176   0.903
0.192   364.188   0.903
0.193   364.202   0.901
0.194   364.236   0.902
0.195   364.234   0.900
0.196   364.253   0.899
0.197   364.283   0.900
0.198   364.280   0.900
0.199   364.305   0.899
0.200   364.323   0.900
0.201   364.327   0.899
0.202   364.354   0.899
0.203   364.362   0.899
0.204   364.375   0.897
0.205   364.407   0.898
0.206   364.403   0.896
0.207   364.422   0.895
0.208   364.449   0.896
0.209   364.447   0.896
0.210   364.472   0.895
0.211   364.487   0.896
0.212   364.492   0.895
0.213   364.740   0.896
0.214   364.527   0.895
0.215   364.544   0.894
0.216   364.793   0.897
0.217   364.788   0.894
0.218   364.810   0.894
0.219   364.833   0.898
0.220   364.833   0.896
0.221   364.861   0.896
0.222   364.872   0.899
0.223   364.883   0.898
0.224   364.912   0.900
0.225   364.918   0.899
0.226   364.941   0.898
0.227   364.973   0.902
0.228   364.973   0.899
0.229   365.001   0.899
0.230   365.025   0.903
0.231   365.034   0.901
0.232   365.067   0.902
0.233   365.084   0.904
0.234   365.106   0.903
0.235   365.142   0.906
0.236   365.155   0.904
0.237   365.188   0.904
0.238   365.227   0.908
0.239   365.238   0.905
0.240   365.274   0.905
0.241   365.303   0.909
0.242   365.320   0.907
0.243   365.359   0.908
0.244   365.378   0.909
0.245   365.407   0.908
0.246   365.443   0.910
0.247   365.454   0.908
0.248   365.491   0.908
0.249   365.521   0.911
0.250   365.529   0.909
0.251   365.562   0.908
0.252   365.574   0.911
0.253   365.583   0.910
0.254   365.610   0.910
0.255   365.612   0.911
0.256   365.632   0.910
0.257   365.654   0.913
0.258   365.649   0.910
0.259   365.673   0.909
0.260   365.685   0.913
0.261   365.681   0.910
0.262   365.701   0.910
0.263   365.695   0.912
0.264   365.697   0.911
0.265   365.715   0.912
0.266   365.707   0.912
0.267   365.724   0.911
0.268   365.742   0.914
0.269   365.736   0.911
0.270   365.760   0.910
0.271   365.768   0.914
0.272   365.768   0.912
0.273   365.791   0.911
0.274   365.788   0.914
0.275   365.800   0.912
0.276   365.825   0.913
0.277   365.822   0.913
0.278   365.850   0.912
0.279   365.874   0.915
0.280   365.875   0.912
0.281   365.906   0.911
0.282   365.914   0.915
0.283   365.918   0.913
0.284   365.941   0.912
0.285   365.937   0.914
0.286   365.952   0.913
0.287   365.973   0.914
0.288   365.965   0.913
0.289   365.988   0.912
0.290   366.001   0.915
0.291   365.993   0.912
0.292   366.013   0.911
0.293   366.004   0.914
0.294   365.995   0.912
0.295   366.004   0.912
0.296   365.985   0.913
0.297   365.987   0.912
0.298   365.995   0.913
0.299   365.974   0.912
0.300   365.985   0.911
0.301   365.983   0.914
0.302   365.965   0.912
0.303   365.974   0.911
0.304   365.954   0.914
0.305   365.941   0.912
0.306   365.948   0.912
0.307   365.928   0.913
0.308   365.933   0.912
0.309   365.944   0.914
0.310   365.930   0.912
0.311   365.948   0.911
0.312   365.951   0.914
0.313   365.945   0.912
0.314   365.965   0.911
0.315   365.960   0.914
0.316   365.966   0.912
0.317   365.988   0.912
0.318   365.987   0.912
0.319   366.011   0.912
0.320   366.037   0.914
0.321   366.043   0.912
0.322   366.075   0.911
0.323   366.089   0.914
0.324   366.099   0.912
0.325   366.127   0.911
0.326   366.132   0.913
0.327   366.152   0.911
0.328   366.178   0.912
0.329   366.183   0.912
0.330   366.212   0.910
0.331   366.234   0.914
0.332   366.239   0.911
0.333   366.264   0.909
0.334   366.267   0.913
0.335   366.269   0.911
0.336   366.285   0.910
0.337   366.277   0.911
0.338   366.287   0.910
0.339   366.301   0.911
0.340   366.293   0.910
0.341   366.310   0.909
0.342   366.316   0.912
0.343   366.311   0.910
0.344   366.326   0.908
0.345   366.318   0.911
0.346   366.319   0.909
0.347   366.333   0.909
0.348   366.330   0.910
0.349   366.347   0.908
0.350   366.367   0.910
0.351   366.373   0.909
0.352   366.404   0.907
0.353   366.421   0.911
0.354   366.435   0.909
0.355   366.470   0.907
0.356   366.484   0.909
0.357   366.517   0.907
0.358   366.556   0.907
0.359   366.582   0.907
0.360   366.633   0.905
0.361   366.676   0.906
0.362   366.711   0.904
0.363   366.765   0.901
0.364   366.794   0.904
0.365   366.835   0.902
0.366   366.882   0.899
0.367   366.906   0.900
0.368   366.960   0.898
0.369   367.004   0.897
0.370   367.036   0.895
0.371   367.090   0.892
0.372   367.127   0.894
0.373   367.159   0.891
0.374   367.204   0.888
0.375   367.457   0.891
0.376   367.244   0.888
0.377   367.520   0.887
0.378   367.520   0.892
0.379   367.541   0.887
0.380   367.552   0.889
0.381   367.541   0.891
0.382   367.551   0.885
0.383   367.526   0.889
0.384   367.488   0.886
0.385   367.210   0.884
0.386   367.143   0.887
0.387   367.074   0.886
0.388   367.018   0.887
0.389   366.908   0.889
0.390   366.810   0.889
0.391   366.708   0.893
0.392   366.550   0.894
0.393   366.416   0.894
0.394   366.257   0.900
0.395   366.045   0.900
0.396   365.864   0.901
0.397   365.642   0.904
0.398   365.386   0.903
0.399   365.165   0.902
0.400   364.597   0.899
0.401   364.287   0.902
0.402   364.018   0.905
0.403   363.648   0.905
0.404   363.283   0.901
0.405   362.952   0.895
0.406   362.501   0.882
0.407   362.103   0.863
0.408   361.360   0.851
0.409   360.838   0.838
0.410   360.418   0.828
0.411   359.970   0.812
0.412   359.471   0.784
0.413   358.543   0.768
0.414   357.979   0.751
0.415   357.448   0.726
0.416   356.997   0.701
0.417   355.667   0.684
0.418   355.177   0.671
0.419   354.678   0.635
0.420   353.242   0.622
0.421   352.853   0.609
0.422   351.283   0.583
0.423   350.876   0.575
0.424   350.531   0.553
0.425   348.860   0.533
0.426   348.594   0.523
0.427   348.253   0.500
0.428   347.916   0.501
0.429   347.825   0.492
0.430   347.596   0.481
0.431   347.485   0.493
0.432   347.579   0.494
0.433   347.496   0.501
0.434   347.609   0.525
0.435   347.843   0.543
0.436   347.899   0.563
0.437   348.180   0.587
0.438   348.476   0.602
0.439   348.628   0.617
0.440   349.920   0.644
0.441   350.162   0.666
0.442   350.294   0.676
0.443   350.622   0.706
0.444   350.825   0.720
0.445   350.956   0.727
0.446   351.227   0.750
0.447   351.359   0.760
0.448   351.446   0.769
0.449   351.625   0.791
0.450   351.679   0.796
0.451   351.703   0.807
0.452   351.786   0.825
0.453   351.759   0.827
0.454   351.713   0.836
0.455   351.709   0.849
0.456   351.597   0.849
0.457   351.475   0.859
0.458   351.378   0.867
0.459   351.172   0.865
0.460   350.983   0.876
0.461   350.810   0.882
0.462   350.514   0.877
0.463   350.272   0.885
0.464   350.049   0.886
0.465   349.707   0.878
0.466   349.454   0.881
0.467   348.869   0.876
0.468   348.485   0.881
0.469   348.236   0.888
0.470   347.917   0.879
0.471   347.518   0.879
0.472   347.288   0.880
0.473   346.946   0.866
0.474   346.593   0.866
0.475   346.398   0.861
0.476   345.669   0.855
0.477   345.372   0.865
0.478   345.186   0.863
0.479   344.816   0.857
0.480   344.612   0.866
0.481   344.465   0.860
0.482   344.179   0.857
0.483   344.108   0.865
0.484   344.027   0.857
0.485   343.861   0.856
0.486   343.917   0.864
0.487   343.915   0.856
0.488   343.867   0.861
0.489   344.024   0.870
0.490   344.093   0.866
0.491   344.152   0.875
0.492   344.418   0.881
0.493   344.558   0.879
0.494   344.712   0.890
0.495   345.068   0.893
0.496   345.248   0.892
0.497   345.452   0.899
0.498   345.824   0.897
0.499   346.000   0.892
0.500   346.539   0.901
0.501   346.891   0.908
0.502   347.053   0.908
0.503   347.296   0.915
0.504   347.630   0.916
0.505   347.767   0.913
0.506   348.005   0.918
0.507   348.278   0.916
0.508   348.371   0.912
0.509   348.572   0.917
0.510   348.773   0.913
0.511   348.803   0.910
0.512   348.950   0.914
0.513   349.065   0.908
0.514   349.030   0.907
0.515   349.117   0.911
0.516   349.437   0.906
0.517   349.037   0.907
0.518   349.066   0.912
0.519   348.999   0.905
0.520   348.832   0.910
0.521   348.810   0.914
0.522   348.663   0.909
0.523   348.457   0.915
0.524   348.393   0.918
0.525   348.179   0.912
0.526   347.966   0.918
0.527   347.872   0.917
0.528   347.605   0.912
0.529   347.408   0.916
0.530   347.295   0.912
0.531   347.024   0.906
0.532   346.880   0.909
0.533   346.769   0.903
0.534   346.517   0.898
0.535   346.436   0.901
0.536   346.337   0.893
0.537   345.826   0.894
0.538   345.822   0.899
0.539   345.728   0.894
0.540   345.573   0.899
0.541   345.634   0.902
0.542   345.561   0.897
0.543   345.483   0.902
0.544   345.605   0.902
0.545   345.564   0.897
0.546   345.571   0.901
0.547   345.747   0.899
0.548   345.744   0.893
0.549   345.835   0.898
0.550   346.370   0.898
0.551   346.414   0.896
0.552   346.564   0.905
0.553   346.804   0.907
0.554   346.884   0.907
0.555   347.104   0.915
0.556   347.357   0.915
0.557   347.464   0.914
0.558   347.735   0.920
0.559   347.979   0.916
0.560   348.098   0.914
0.561   348.391   0.918
0.562   348.607   0.911
0.563   348.729   0.908
0.564   349.006   0.909
0.565   349.483   0.903
0.566   349.596   0.901
0.567   349.836   0.908
0.568   349.977   0.902
0.569   350.062   0.901
0.570   350.252   0.907
0.571   350.338   0.899
0.572   350.375   0.900
0.573   350.493   0.904
0.574   350.493   0.896
0.575   350.467   0.900
0.576   350.506   0.904
0.577   350.408   0.896
0.578   350.322   0.902
0.579   350.281   0.904
0.580   350.093   0.897
0.581   349.967   0.903
0.582   349.863   0.902
0.583   349.620   0.893
0.584   349.192   0.902
0.585   349.036   0.898
0.586   348.754   0.904
0.587   348.629   0.911
0.588   348.431   0.907
0.589   348.145   0.911
0.590   348.029   0.914
0.591   347.791   0.907
0.592   347.539   0.911
0.593   347.451   0.910
0.594   347.211   0.902
0.595   347.026   0.904
0.596   346.967   0.901
0.597   346.749   0.894
0.598   346.651   0.898
0.599   346.628   0.894
0.600   346.458   0.890
0.601   346.450   0.895
0.602   346.465   0.892
0.603   346.361   0.891
0.604   346.445   0.898
0.605   346.499   0.895
0.606   346.469   0.897
0.607   346.633   0.905
0.608   346.718   0.902
0.609   346.758   0.905
0.610   346.981   0.912
0.611   347.097   0.908
0.612   347.205   0.912
0.613   347.466   0.917
0.614   347.608   0.912
0.615   347.776   0.915
0.616   348.066   0.917
0.617   348.219   0.911
0.618   348.411   0.914
0.619   348.686   0.912
0.620   348.826   0.903
0.621   349.019   0.904
0.622   349.569   0.897
0.623   349.720   0.888
0.624   349.928   0.893
0.625   350.179   0.890
0.626   350.309   0.881
0.627   350.493   0.884
0.628   350.698   0.877
0.629   350.759   0.866
0.630   350.888   0.870
0.631   351.023   0.858
0.632   350.994   0.848
0.633   351.048   0.848
0.634   351.086   0.830
0.635   350.945   0.820
0.636   350.909   0.817
0.637   350.852   0.791
